,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335
LBGI,adolescent#003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08044146237455285,0.08410283737279238,0.0,0.0,0.0,0.0,0.014127131795190269,0.2562572616473381,0.9011895959257394,0.49624597397719983,0.011727989984144772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007215633540102375,0.016302462274251174,0.0,0.0,0.0,0.0,0.00011752517368412823,2.3365182291661022e-05,0.0,0.0,0.0013657407157674445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0800232869177794,0.11782665228454696,0.0,0.0,0.0,0.0,0.0,0.0060550050694067195,0.0006056480993411932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063007570429155,0.1069323962235408,0.0,0.0,0.0,0.0,0.0,0.002592967794213466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5006230534549175e-05,0.013124644443366659,0.0,0.0,0.0,0.0,0.0,0.009002894682016573,0.13758900521493658,0.11948872920799436,0.014677968966961235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004534852913063588,0.2047442064018287,0.2224775550789584,0.038357985906670417,0.00011564286797055379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054602318030172854,0.031005945354366595,0.0,0.0,0.0,0.0,0.0,0.0,0.0018174124288729188,0.00029859481993138863,0.0039276449240097985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000183476702779839,0.13126343295884782,0.09754508943876994,0.0,0.0,0.0,0.0,2.3485940563094396e-05,0.00980304852719843,0.00024323718667818971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09319524987351947,0.09113845365196178,0.0,0.0,0.0,0.0,0.07008280614094074,0.09636268343227426,0.012607366698613212,2.496734184923776e-07,0.14567823572476413,0.35601288217537946,0.03423996708584015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028712962003032746,0.03710575391253176,0.0,0.0,0.0,0.0,0.0,1.5076143305285894e-05,0.0003893298123029668,0.0,0.0,0.0,0.0,0.0
HBGI,adolescent#003,2.2820463967205873,3.7559040695503008,8.836841918162444,4.59514983085118,3.2312406865184493,4.672740542824914,10.988482608580851,3.433403903731909,1.149886024900326,0.2554470706357615,0.00015166275678718958,0.965849658794577,6.976777951805023,3.3121364946393865,2.104764111711049,0.7935897878224193,0.015737357801951016,0.0,0.0,0.0,0.021068471595235474,0.2605496339040112,0.5911323642291625,0.5828755961417219,0.6189741094619879,2.6995458996721893,7.648568836650934,3.666438771545012,2.4971987054899185,4.2770773051266895,11.898306573793326,4.627450883079438,2.231743314904358,0.8498626879993029,0.02990210708100702,1.201649665848853,7.553449949324943,3.510535509736817,2.0942463703105196,0.7404935518029117,0.01747541851004034,0.007173354620399131,0.03566295939529016,0.010936424050568634,0.0,0.03614287115028337,0.23218876643298114,0.3996742016450198,0.4267533402465442,1.3519488755386118,5.7596861639249255,3.0531967738214685,2.707898787261298,4.489474041803358,11.175503608045268,3.833070401391397,1.4631458956079897,0.3389276943384234,7.198664884640015e-05,0.8722451861784916,7.227223558209725,4.128808652567835,2.9136616025598077,1.4893625625513998,0.23186699470791927,0.0006033891460518715,0.011562815523336456,0.09572547008542881,0.16815187660090417,0.1555734557332121,0.31681557445214,0.4651046054201009,0.600489674203153,2.7363422822489483,8.356793450942178,4.651875368171844,3.494774513064099,4.569054824932009,10.889722643246877,3.2490465214291926,1.079173756832316,0.3731435979948827,0.002118012725752919,0.8449875189815623,6.722129609644006,3.5274834933195405,2.240795255979171,1.0227362876349815,0.10967565181767207,7.668971192143765e-06,0.05753369621401091,0.3523116574669594,0.6402982110607431,0.8275577832999969,0.5869995914933829,0.12945425900515556,0.13634919673189752,2.2650657214701915,9.145384444127068,6.352674068288973,4.945328551821892,5.818607425045624,16.32528095722986,9.961741532112507,7.13683932654893,3.420027667089372,0.34977055243715865,1.7300122494512298,14.200786601252487,13.206049587958892,10.889247291697474,5.417734769270691,1.1282896816714638,0.037706310644210664,0.0,0.0,0.00010715905229790984,0.031034229292455594,0.1449487705607876,0.33253906270106715,0.6141180457960631,4.810541634243773,24.286125275719176,28.835868300043757,29.88531347779637,34.418623401627045,69.66490619145928,81.18099853063683,87.34608222189188,84.85319483183393,75.98584000299371,74.01126286914688,99.3389585839762,106.29178063298484,109.39058362289971,105.50419281578934,96.61283779115952,86.92508758041375,77.0808061627116,67.16832428214595,57.234694327876504,47.34434491597642,37.595273792833076,28.13842815809946,19.209487261726697,17.358401340490918,37.01981871520764,41.57708690815063,43.06323213337621,47.33957724361783,81.43843763228838,92.33290061503733,98.07468050251227,95.45103623340007,86.64609404838501,84.50640231587202,108.86598291647095,115.43844886538919,118.28428043462543,114.34774921496319,105.54210253991893,95.95026726461099,86.18781933537237,76.33197730150482,66.41578331274889,56.48281777161619,46.59921346530235,36.866168011699166,27.439724217081054,25.135331686034146,44.82505354137951,49.12817333065333,50.38923010633653,54.4020731822159,87.7814022014083,98.34568465540208,103.8669123458642,101.18024461025975,92.41874527146247,90.19968949309408,114.03929037675225,120.41131629470625,123.12454962101923,119.16404511442717,110.40813655287461,100.87319044764466,91.16253592233402,81.3485578806893,71.45850221185721,61.52744076424452,51.60867174094094,41.78366818355719,32.17749199508521,29.66833360062546,49.236372573542525,53.392257806975294,54.53151222088292,58.39890617318327,91.35640226299775,101.73680074698126,107.13609735486195,104.41590568663315,95.68124896078479,93.4200284955881,116.96793146863477,123.22840196388945,125.86801274806612,121.89483378345398,113.1678626781565,103.66630057085247,93.98679561722724,84.14445326040975,73.15078318797832,60.2451429663811,45.860688529026426,31.067355725380178,17.768254759951766,12.310406070550952,24.788268947860345,22.676584737763893,17.884149580599335,15.804425390100064,36.315806998213695,34.41674867701834,28.809261838066718,16.916596524001815,4.407933316436109,1.7247936781216302,11.917403566279878,9.068226976484706,6.439391772756878,2.425656060407786,0.11487193192739142,0.0,0.0,0.0,0.00037460615797949964,0.021690370185999563,0.16525370917568305,0.38851303762447703,0.45090613258698004,2.1535665990246406,8.052468397217163,5.032490933439985,4.06905501883105,5.5158324453302425,12.138706621290384,4.213259271586617,1.552072356628052,0.3285781986380875,2.317494878432779e-05,1.3208073894793728,8.692921650175261,4.740128069849734,3.245235172711659,2.021935856365815,0.7167665972045437,0.08208833918764967,0.0,0.00044179328609162213,0.00016391166313564255,0.08324736963003487,0.37956131554439665,0.4854672062288767,0.6826714535898032,1.9165950246747443,6.7556812174227225,3.5888943324428797,2.5484690323268926,2.7340399432890266,7.715380540905149,1.9080935842717883,0.6209270210279682,0.15195207268757308,0.0,0.8651727994333894,5.842148706797382,2.2735808551026206,1.3667624605078694,0.6423207617197141,0.06702769339716878,0.0,0.020959815401742018,0.22465014569926542,0.35811534088742003,0.5344716039408901,0.7817303081575662,1.1649786042540387,1.4754663965523713,2.9445854567097522,7.7846585852880255,4.021457717738618,2.8855001377490788,4.105580911536482,10.185213525807258,3.1011103834252154,1.0128016206957684,0.20626600043428814,0.0,1.068226053913348,8.410424954395664,4.685302128493579,2.7152108898979956,0.6322576415700091,6.993244941069114e-05,0.0,0.0,0.004074435310040229,0.0,0.0,0.017639330999882966,0.32200005207079685,0.42794205217012493,2.2262682876162505,7.486702379712807,3.9856325648986837,2.7179855525208776,3.7923223627912925,10.297756979437102,3.279918574732554,1.015012942852824,0.20854070761037347,0.0003357221169849346,1.0750820085798354,7.298033148389519,3.5128675479555866,2.268992477973835,1.2870654460302382,0.2221166050515682,0.007931621387444113,0.0013501547497086945,0.038648579902657874,0.07526253631528315,0.20190301056574644,0.35791225442120905,0.4802717498296885
Risk Index,adolescent#003,2.2820463967205873,3.7559040695503008,8.836841918162444,4.59514983085118,3.2312406865184493,4.672740542824914,10.988482608580851,3.433403903731909,1.149886024900326,0.2554470706357615,0.08059312513134004,1.0499524961673694,6.976777951805023,3.3121364946393865,2.104764111711049,0.7935897878224193,0.029864489597141285,0.2562572616473381,0.9011895959257394,0.49624597397719983,0.032796461579380244,0.2605496339040112,0.5911323642291625,0.5828755961417219,0.6189741094619879,2.6995458996721893,7.648568836650934,3.666438771545012,2.4971987054899185,4.2770773051266895,11.898306573793326,4.627450883079438,2.231743314904358,0.8498626879993029,0.037117740621109396,1.217952128123104,7.553449949324943,3.510535509736817,2.0942463703105196,0.7404935518029117,0.01759294368372447,0.007196719802690792,0.03566295939529016,0.010936424050568634,0.0013657407157674445,0.03614287115028337,0.23218876643298114,0.3996742016450198,0.4267533402465442,1.3519488755386118,5.7596861639249255,3.0531967738214685,2.707898787261298,4.489474041803358,11.175503608045268,3.833070401391397,1.4631458956079897,0.3389276943384234,0.0800952735666258,0.9900718384630385,7.227223558209725,4.128808652567835,2.9136616025598077,1.4893625625513998,0.23186699470791927,0.006658394215458591,0.01216846362267765,0.09572547008542881,0.16815187660090417,0.1555734557332121,0.31681557445214,0.4651046054201009,0.600489674203153,2.7363422822489483,8.356793450942178,4.651875368171844,3.494774513064099,4.569054824932009,10.889722643246877,3.2490465214291926,1.079173756832316,0.3731435979948827,0.06512558315490792,0.9519199152051031,6.722129609644006,3.5274834933195405,2.240795255979171,1.0227362876349815,0.10967565181767207,0.00260063676540561,0.05753369621401091,0.3523116574669594,0.6402982110607431,0.8275577832999969,0.5869995914933829,0.12945425900515556,0.13634919673189752,2.2650657214701915,9.145384444127068,6.352674068288973,4.945328551821892,5.818607425045624,16.32528095722986,9.961741532112507,7.13683932654893,3.420027667089372,0.3498255586676932,1.7431368938945964,14.200786601252487,13.206049587958892,10.889247291697474,5.417734769270691,1.1282896816714638,0.046709205326227236,0.13758900521493658,0.11948872920799436,0.014785128019259144,0.031034229292455594,0.1449487705607876,0.33253906270106715,0.6141180457960631,4.810541634243773,24.286125275719176,28.835868300043757,29.88531347779637,34.418623401627045,69.66490619145928,81.18099853063683,87.34608222189188,84.85319483183393,75.98584000299371,74.01126286914688,99.3389585839762,106.29178063298484,109.39058362289971,105.50419281578934,96.61283779115952,86.92508758041375,77.0808061627116,67.16832428214595,57.234694327876504,47.34434491597642,37.595273792833076,28.13842815809946,19.209487261726697,17.358401340490918,37.01981871520764,41.57708690815063,43.06323213337621,47.33957724361783,81.43843763228838,92.33290061503733,98.07468050251227,95.45103623340007,86.64609404838501,84.50640231587202,108.86598291647095,115.43844886538919,118.28428043462543,114.34774921496319,105.54210253991893,95.95026726461099,86.18781933537237,76.33197730150482,66.41578331274889,56.48281777161619,46.59921346530235,36.866168011699166,27.439724217081054,25.135331686034146,44.82505354137951,49.12817333065333,50.38923010633653,54.4020731822159,87.7814022014083,98.34568465540208,103.8669123458642,101.18024461025975,92.41874527146247,90.19968949309408,114.03929037675225,120.41131629470625,123.12454962101923,119.16404511442717,110.40813655287461,100.87319044764466,91.16253592233402,81.3485578806893,71.45850221185721,61.52744076424452,51.60867174094094,41.78366818355719,32.17749199508521,29.66833360062546,49.236372573542525,53.392257806975294,54.53151222088292,58.39890617318327,91.35640226299775,101.73680074698126,107.13609735486195,104.41590568663315,95.68124896078479,93.4200284955881,116.96793146863477,123.22840196388945,125.86801274806612,121.89483378345398,113.1678626781565,103.66630057085247,93.98679561722724,84.14445326040975,73.15078318797832,60.2451429663811,45.860688529026426,31.067355725380178,17.768254759951766,12.310406070550952,24.788268947860345,22.676584737763893,17.884149580599335,15.804425390100064,36.315806998213695,34.41674867701834,28.809261838066718,16.916596524001815,4.407933316436109,1.7247936781216302,11.917403566279878,9.068226976484706,6.439391772756878,2.425656060407786,0.11940678484045501,0.2047442064018287,0.2224775550789584,0.038357985906670417,0.0004902490259500534,0.021690370185999563,0.16525370917568305,0.38851303762447703,0.45090613258698004,2.1535665990246406,8.052468397217163,5.032490933439985,4.06905501883105,5.5158324453302425,12.138706621290384,4.213259271586617,1.552072356628052,0.3285781986380875,0.054625492978957184,1.3518133348337393,8.692921650175261,4.740128069849734,3.245235172711659,2.021935856365815,0.7167665972045437,0.08208833918764967,0.0018174124288729188,0.0007403881060230107,0.004091556587145441,0.08324736963003487,0.37956131554439665,0.4854672062288767,0.6826714535898032,1.9165950246747443,6.7556812174227225,3.5888943324428797,2.5484690323268926,2.7340399432890266,7.715380540905149,1.9080935842717883,0.6209270210279682,0.15213554939035293,0.13126343295884782,0.9627178888721594,5.842148706797382,2.2735808551026206,1.3667624605078694,0.6423207617197141,0.06705117933773187,0.00980304852719843,0.02120305258842021,0.22465014569926542,0.35811534088742003,0.5344716039408901,0.7817303081575662,1.1649786042540387,1.4754663965523713,2.9445854567097522,7.7846585852880255,4.021457717738618,2.8855001377490788,4.105580911536482,10.185213525807258,3.1011103834252154,1.0128016206957684,0.20626600043428814,0.09319524987351947,1.1593645075653096,8.410424954395664,4.685302128493579,2.7152108898979956,0.6322576415700091,0.07015273859035144,0.09636268343227426,0.012607366698613212,0.004074684983458722,0.14567823572476413,0.35601288217537946,0.05187929808572311,0.32200005207079685,0.42794205217012493,2.2262682876162505,7.486702379712807,3.9856325648986837,2.7179855525208776,3.7923223627912925,10.297756979437102,3.279918574732554,1.015012942852824,0.20854070761037347,0.02904868412001768,1.112187762492367,7.298033148389519,3.5128675479555866,2.268992477973835,1.2870654460302382,0.2221166050515682,0.007946697530749398,0.0017394845620116613,0.038648579902657874,0.07526253631528315,0.20190301056574644,0.35791225442120905,0.4802717498296885
