,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335
LBGI,adult#003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006103508426008374,0.03341222979117408,0.0,0.0,0.0,0.0,0.00965340718338583,0.059811909175074625,0.0,0.0,0.08649113483618047,1.0287015268509787,0.8289045660047681,0.04008529090274392,0.0,0.0,0.0,0.0,0.0,0.0,0.0002783490737841166,0.015986444202030093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03158449522456075,0.15724006389231734,0.0,0.0,0.0,0.006772880780878364,0.06284486717563519,0.15051122386136373,0.06994902031923014,0.0001866944711351351,0.0,0.0,4.605663141145507e-07,0.0,4.966076897780265e-05,0.00018967536880677924,0.0,0.0,0.00415454255390008,0.09811872753595859,0.0,0.0,0.0,0.0,9.558632428238968e-06,0.0028601355181532193,0.0,0.0,0.052180457352077346,0.3173540505462757,0.13458319172042865,0.004256417845945445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00601179511422173,0.0865876878074104,0.0,0.0,0.0,0.0,0.0034784547748574774,0.022776625035644746,0.0,0.0,0.030513651631514194,0.11144802391575535,0.004575849469266848,0.0,0.0,0.0,0.03158668400426159,0.03983203145509396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038198692838404056,0.001906035095313306,9.93340770034389e-05,0.0014094326265960769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017177351752702174,0.06741907392845858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022940482562967202,0.4757457420926157,0.40803618863072727,0.21607420581309122,0.012419543452806435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1852082733333573,0.5565128934411975,0.0,0.0,0.0,0.0,0.18558473458307442,0.44549638698079147,0.00015857663779767625,0.0,0.034227547967106337,0.15408397954519182,0.008782634505730033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005475272823538313,0.0,0.0,0.007781068118283462,0.10406383120784941,0.0,0.0,2.9499963781348755e-05,0.0,0.0,0.0,0.0,0.0,0.0038223518717854454,0.045072121342335826,0.03228584181735853,0.4796038066055271,1.2671361992182086,0.45556209394773894,0.0004980300815446178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004769715170037538,0.08409151854947162,0.0,0.0,0.0,0.0,0.004777907351510049,0.02608490458838492,0.0,0.0,0.03591954366111138,0.2874947632042554,0.07334139298753972,0.00010370236005752906,0.0,0.0,0.0
HBGI,adult#003,2.4137484530963818,3.3153134622900313,3.46169558442967,0.6430863989302865,0.16193498002521478,4.117055490049646,4.543695228633298,0.350015318066363,0.009479337080724917,2.6500362633543886,2.217919357757628,0.9410413267850944,1.457705464049839,0.07047074566975496,0.0021568623201216872,1.5698533942026902,1.3176588103694769,0.03952049046718974,0.0,0.0,0.02308667486463793,0.35679608308482935,0.60610540229805,0.37359461374382286,0.2125561551894022,1.5489099258959118,2.154554231443415,0.18147859699046195,0.002989188308405297,3.0771428420792297,4.55686667787137,0.6239139334077257,0.06872927059732221,3.439870636528791,2.572112320978083,0.9755501818628654,1.39419470839876,0.04794376033460159,2.1184302739707272e-06,1.3451343407738212,1.39070589362425,0.14351666458738674,0.000602929492125746,0.0,0.0,0.0,0.012949930614917891,0.07577878473805351,0.08038893253873065,0.5620512099072952,1.0408761511825944,0.07121601345347585,0.0644041362912514,4.217811126576064,4.681711180863927,0.33455988701909245,0.0018343139062020689,2.2689534852840856,1.8837134025250704,0.5890760925927817,1.238581734005506,0.1205970218183507,0.01701800554171128,2.0805169968621224,1.8664323651038457,0.05576877839259243,0.0,0.0,0.0,0.004858509116358171,0.04891482807582594,0.09613499700321015,0.15636012507870548,1.5975498991363732,2.600541366929397,0.43167834044557135,0.0877699675070166,3.896948640643718,4.356338147037994,0.2932512097303749,0.0040116895560221065,2.3575572460282186,1.7794541960835148,0.6188802745508597,1.1138331849790888,0.052601530244359464,0.006400448704437172,1.6824567445874694,1.4396703101124242,0.034056299106959155,0.0,0.017908419605975192,0.17122212888763433,0.29833450329691913,0.14202307733588257,0.00026978798050755884,0.0,1.2870950722855221,3.4204797329171748,1.654752119906749,1.2203307585383492,6.451734078459727,7.93868977576285,2.7506819573473087,2.109024127399137,9.134748899690274,6.510996775189013,3.449225912233731,6.87027786139091,5.483704681141372,5.425248507736902,10.413415367393428,7.643753240585393,2.3438641348289213,0.9830860319092464,1.2739610067121296,2.0560131908307757,2.567797484490355,2.7962381203751456,3.1789963059900828,3.9704038739274825,9.143711272248522,19.563405848371413,21.922382497933814,22.532211468272937,34.292576408547156,47.02838638049457,44.99008184016554,40.17221263288434,44.2567415828156,33.85148583026831,24.665701058737525,31.912919465929857,31.303690267536595,29.4405469265775,34.32100767467261,27.905396087610196,16.524930451559214,10.284448568091484,7.785648350420623,6.787549581782851,6.374844425226118,5.976858052707239,5.956830864783136,6.081122235945128,11.192369305196719,23.170649731468,25.90019324344404,25.43481472124863,34.7727328876401,45.14855364620937,42.55562431878303,38.67046569308143,43.119309238308254,32.92396184345582,24.706349906867633,33.09183475737252,32.82631842995927,30.528850005473945,34.75652987836796,27.576984698475588,15.644477033774924,9.63314135686337,7.257070655832332,6.104773510711443,5.952156343506391,6.526899402340848,7.023239377562813,7.290601826682569,12.414588163279639,24.271199325319486,26.688266739469807,25.257915566493494,34.588259744252625,45.894852612020344,43.33335187427475,38.65926738095747,43.04370068718287,33.31395310159781,24.988226330090257,32.626400169533575,32.257843044212926,30.164119978372852,33.87227293180281,25.829399594373115,14.57132632031479,9.101221524678357,7.010364047306065,6.270608085204294,6.10801012143047,6.436292292637458,6.697775137527643,6.843479427087341,12.041793331743298,23.817177897809263,26.443826169098514,25.727354386667212,35.225602208249725,46.2571181335569,43.337793646206855,38.508982218716724,42.80180496439356,32.62939060290858,23.835773611264518,31.923879336004564,31.799021976301304,29.55639433746681,34.121731055954065,27.364382275707317,15.696801889846192,9.498688007173135,6.797487837163058,5.588951449279471,4.993667910241451,4.3598726054282375,3.5305878168714475,3.3677098247258854,7.447842726486787,15.638577921052901,15.033707891974833,12.449255501791837,18.502549121280495,22.360537062896935,15.314918979084831,12.431532635710568,17.720698760350764,10.308826788900186,4.32642031541037,6.446476918070544,3.8108671485787564,3.232217204859389,7.438959212989048,4.653609791231412,0.5565622984982015,0.0009879631457000132,0.00017900993995750825,0.0011938921092536888,0.0,0.01084693405482042,0.06305213643402495,0.059569778973165406,1.0115994814824358,2.3229906604719637,0.6761880083621219,0.4236389823579738,5.181094263266442,5.146861227115583,0.38696785011202456,0.0022233204175061204,2.0896812566423457,1.8389681541736558,1.1343055404029256,2.1691993537073535,0.32606319718679405,0.08643670426028367,2.9454634690296686,2.9339644282082538,0.20792904841245732,0.0,0.0,0.0,0.011858900694767931,0.21258151337179831,0.29592396636047796,0.3556423255758028,1.0048516503887364,1.5627199143870631,0.177444849894388,0.01927417261407716,2.464551010527295,2.252322057411305,0.02195163144779759,0.0,1.7179157310155286,1.5019755231219059,0.7544523943672314,0.9052926700916882,0.0022634986612289428,0.0,1.0894304614330925,1.2815384071860323,0.036067798613617495,0.0,0.02248400696810963,0.20712093398655917,0.3083821688935431,0.2975390688405446,0.4242066975562724,0.6339559523939118,1.512393563022793,1.9045194024469578,0.18293851326882002,0.027671371840340925,3.7023822328123503,4.146048886669621,0.24950353427336092,0.0015939086673531291,2.0543067367300174,1.6021987281878236,0.7217879278283861,2.5164767072279997,0.740536258719354,0.05867025098752846,1.4424735130682904,1.0772351552376613,0.04511782555664265,0.0,0.0,0.0,0.0,0.0,0.19216061686699806,0.6416770806813631,1.8264174900073102,2.2969785588898355,0.29521639682681583,0.04606627048845809,3.6014269752457118,4.0889002046381115,0.2669388197694432,0.002754571494897001,2.4141214415856536,2.240266121407567,0.9279664974496479,1.4043949521445986,0.07243287592293259,0.011456921419564664,2.115148338011171,1.909872317180821,0.0646989194759252,0.0,0.0,0.015521403116785454,0.09858853434835226,0.16158122848376147,0.1736095675754169
Risk Index,adult#003,2.4137484530963818,3.3153134622900313,3.46169558442967,0.6430863989302865,0.16193498002521478,4.117055490049646,4.543695228633298,0.35062566890896385,0.042891566871898996,2.6500362633543886,2.217919357757628,0.9410413267850944,1.457705464049839,0.08012415285314078,0.06196877149519631,1.5698533942026902,1.3176588103694769,0.1260116253033702,1.0287015268509787,0.8289045660047681,0.06317196576738185,0.35679608308482935,0.60610540229805,0.37359461374382286,0.2125561551894022,1.5489099258959118,2.154554231443415,0.18175694606424608,0.01897563251043539,3.0771428420792297,4.55686667787137,0.6239139334077257,0.06872927059732221,3.439870636528791,2.572112320978083,0.9755501818628654,1.39419470839876,0.07952825555916235,0.15724218232259132,1.3451343407738212,1.39070589362425,0.14351666458738674,0.00737581027300411,0.06284486717563519,0.15051122386136373,0.06994902031923014,0.013136625086053027,0.07577878473805351,0.08038893253873065,0.5620516704736093,1.0408761511825944,0.07126567422245365,0.06459381166005818,4.217811126576064,4.681711180863927,0.3387144295729925,0.09995304144216066,2.2689534852840856,1.8837134025250704,0.5890760925927817,1.238581734005506,0.12060658045077895,0.019878141059864497,2.0805169968621224,1.8664323651038457,0.10794923574466977,0.3173540505462757,0.13458319172042865,0.004256417845945445,0.004858509116358171,0.04891482807582594,0.09613499700321015,0.15636012507870548,1.5975498991363732,2.600541366929397,0.43167834044557135,0.0877699675070166,3.896948640643718,4.356338147037994,0.2992630048445966,0.0905993773634325,2.3575572460282186,1.7794541960835148,0.6188802745508597,1.1138331849790888,0.05607998501921694,0.029177073740081917,1.6824567445874694,1.4396703101124242,0.06456995073847335,0.11144802391575535,0.02248426907524204,0.17122212888763433,0.29833450329691913,0.14202307733588257,0.031856471984769145,0.03983203145509396,1.2870950722855221,3.4204797329171748,1.654752119906749,1.2203307585383492,6.451734078459727,7.93868977576285,2.7506819573473087,2.109024127399137,9.134748899690274,6.510996775189013,3.449225912233731,6.87027786139091,5.483704681141372,5.425248507736902,10.413415367393428,7.643753240585393,2.3438641348289213,0.9830860319092464,1.2739610067121296,2.0560131908307757,2.567797484490355,2.7962381203751456,3.1789963059900828,3.9704038739274825,9.143711272248522,19.563405848371413,21.922382497933814,22.532211468272937,34.292576408547156,47.02838638049457,44.99008184016554,40.17221263288434,44.2567415828156,33.85148583026831,24.665701058737525,31.912919465929857,31.303690267536595,29.4405469265775,34.32100767467261,27.905396087610196,16.524930451559214,10.284448568091484,7.785648350420623,6.787549581782851,6.374844425226118,5.976858052707239,5.956830864783136,6.081122235945128,11.192369305196719,23.170649731468,25.90019324344404,25.43481472124863,34.7727328876401,45.14855364620937,42.55562431878303,38.67046569308143,43.119309238308254,32.92396184345582,24.706349906867633,33.09183475737252,32.82631842995927,30.528850005473945,34.75652987836796,27.576984698475588,15.644477033774924,9.63314135686337,7.257070655832332,6.104773510711443,5.952156343506391,6.526899402340848,7.023239377562813,7.290601826682569,12.414588163279639,24.271199325319486,26.688266739469807,25.257915566493494,34.588259744252625,45.894852612020344,43.33335187427475,38.65926738095747,43.04370068718287,33.31395310159781,24.988226330090257,32.626400169533575,32.257843044212926,30.164119978372852,33.87227293180281,25.829399594373115,14.57132632031479,9.101221524678357,7.010364047306065,6.270608085204294,6.10801012143047,6.436292292637458,6.697775137527643,6.843479427087341,12.041793331743298,23.817177897809263,26.443826169098514,25.727354386667212,35.225602208249725,46.2571181335569,43.337793646206855,38.508982218716724,42.80180496439356,32.62939060290858,23.835773611264518,31.923879336004564,31.799021976301304,29.55639433746681,34.121731055954065,27.364382275707317,15.696801889846192,9.498688007173135,6.797487837163058,5.588951449279471,4.993667910241451,4.3598726054282375,3.5305878168714475,3.3677098247258854,7.447842726486787,15.638577921052901,15.033707891974833,12.449255501791837,18.502549121280495,22.360537062896935,15.314918979084831,12.431532635710568,17.720698760350764,10.308826788900186,4.32642031541037,6.446476918070544,3.8108671485787564,3.232217204859389,7.438959212989048,4.653609791231412,0.5565622984982015,0.004807832429540419,0.0020850450352708143,0.0012932261862571277,0.0014094326265960769,0.01084693405482042,0.06305213643402495,0.059569778973165406,1.0115994814824358,2.3229906604719637,0.6761880083621219,0.4236389823579738,5.181094263266442,5.146861227115583,0.3886855852872948,0.0696423943459647,2.0896812566423457,1.8389681541736558,1.1343055404029256,2.1691993537073535,0.32606319718679405,0.08643670426028367,2.9454634690296686,2.9339644282082538,0.23086953097542454,0.4757457420926157,0.40803618863072727,0.21607420581309122,0.024278444147574366,0.21258151337179831,0.29592396636047796,0.3556423255758028,1.0048516503887364,1.5627199143870631,0.177444849894388,0.01927417261407716,2.464551010527295,2.252322057411305,0.20715990478115487,0.5565128934411975,1.7179157310155286,1.5019755231219059,0.7544523943672314,0.9052926700916882,0.18784823324430336,0.44549638698079147,1.0895890380708901,1.2815384071860323,0.07029534658072384,0.15408397954519182,0.03126664147383967,0.20712093398655917,0.3083821688935431,0.2975390688405446,0.4242066975562724,0.6339559523939118,1.512393563022793,1.9045194024469578,0.18293851326882002,0.028218899122694756,3.7023822328123503,4.146048886669621,0.25728460239164436,0.10565773987520255,2.0543067367300174,1.6021987281878236,0.7218174277921674,2.5164767072279997,0.740536258719354,0.05867025098752846,1.4424735130682904,1.0772351552376613,0.04894017742842809,0.045072121342335826,0.03228584181735853,0.4796038066055271,1.2671361992182086,0.45556209394773894,0.19265864694854268,0.6416770806813631,1.8264174900073102,2.2969785588898355,0.29521639682681583,0.04606627048845809,3.6014269752457118,4.0889002046381115,0.2717085349394808,0.08684609004436862,2.4141214415856536,2.240266121407567,0.9279664974496479,1.4043949521445986,0.07721078327444264,0.037541826007949586,2.115148338011171,1.909872317180821,0.10061846313703657,0.2874947632042554,0.07334139298753972,0.015625105476842982,0.09858853434835226,0.16158122848376147,0.1736095675754169
