,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335
LBGI,adult#009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2386129666699908,0.9329220593267834,0.029253383183120443,0.11356350599104799,3.1845149976411844,12.517218554537626,21.984656900427158,23.598306736570365,17.79732370953909,9.97416418233511,4.053819805582181,1.0289466201953135,0.06466574473361404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12833234956063974,0.6408602740462709,0.010510065903627047,0.042442431096930654,2.0230791921052433,7.77685058457138,13.408034682362036,14.651443434133164,11.278749772735438,6.26013251839693,2.334025922255838,0.4967787121264307,0.03634161845856467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1511372515696269,0.661694466720011,0.010731330770214773,0.02720252674270968,2.030972920449682,7.969493182443365,12.757149970159356,12.693838714400265,9.181201253198207,4.9325600416158,1.7694664792643444,0.3227591666089809,0.006551466058193095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16092401232187756,0.6816090101094746,0.011802588117599114,0.04316058647336193,2.103766849008029,7.603145491704716,11.597683019017985,10.79545849874557,6.8266004750266545,2.9583564131230555,0.9186384775292615,0.15068299036348573,0.0011370431129431463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01915679301447296,0.21382424615472265,0.0,0.0022920726058679075,1.7792334353137658,9.397149580792744,17.241961763857926,18.269922627476664,13.130058217360594,6.7493702605729595,2.301714950293228,0.3153370347649701,6.852049139661563e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9460572684247825,10.026374505680481,24.290810662288465,30.545642309594573,24.800963736597783,14.61090263099427,6.460209851880795,1.8842240838919804,0.1678902200492737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.883537718403128,9.431531024177223,22.182150768947366,27.4937577502765,22.49832130513471,13.316828647930885,5.6804582484196855,1.3995156787205445,0.0574632666207729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9871952445125605,14.778642428657411,32.56704644711474,39.05856849056013,30.468978957935615,17.2340868326893,7.178090856214104,1.8088490596109554,0.08436889816018599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1523708398336734,11.147120657145692,27.126179562777494,35.73348967577272,30.723144317698573,19.195724411859654,9.28227047217017,3.2113116663251837,0.36124120912218866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031700161371401116,0.41148653255536266,0.004040825978941809,0.06231491164484465,3.1511510965232716,12.483078859102688,20.660599033621367,20.614811995175106,14.401107447820733,7.326595668103476,2.4435606379590356,0.36606082252674915,0.006241460395031972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19886255269585604,0.8554030508989191,0.024334701803852832,0.04496736948726038,2.391643649656212,9.590108325998996,16.24228969182484,17.53331757087914,13.568274650775555,7.723626731483985,3.057290794194031,0.6070685006666491,0.016834472121104258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002143935241162255,0.0,0.8886354456076339,2.4171496167771465,0.2328216824557465,0.3450773611064745,4.23945672400941,12.280731142268037,17.463417931485868,15.645195075270207,9.789285345955014,4.2416773773773775,0.9782214257879241,0.028149689888037645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.734095137379223e-05,0.0,0.23310396499961758,1.0863478009850387,0.058140911586048505,0.15854028816944607,3.232566870449103,10.820527766422382,17.579004187350982,19.287827974107557,17.006528627327597,11.90376723873183,6.346050530844445,2.4176653717024483,0.36592426520606053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43769439456483933,1.4820523555508525,0.0813783519436521,0.15308261445576374,3.320110735473284,11.327797701680069,17.99474142656428,17.93226351950675,12.636266514244724,6.448088005889146,2.1395717220068518
HBGI,adult#009,2.224841091164206,3.4396824769804275,7.925630880175522,5.345662632237095,4.188980456273376,8.72567906787619,13.048281894195462,5.2948827666405345,3.1271573887376563,6.956903506526756,4.0599706583304815,0.44049493541135826,1.2631055774732152,0.018640016936158424,0.0,0.0668953660387649,0.02334173933994578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5814139851342661,4.57311858048597,3.66240457852703,3.4479301537304905,8.69842229499585,14.024655474649528,6.5569284324921275,4.337786330991132,8.121446796812233,4.7240258604992205,0.7672833818706571,1.7165556744881136,0.05225910196614256,0.0,0.14026361980248245,0.0656740729919086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5143980850401967,4.099376408228458,3.2307681532497665,3.199438674328667,8.419350358099594,13.386165218539759,5.854551791325843,3.6572296211355426,7.27981246837814,4.14574600693067,0.46483322480846595,1.3329278662935349,0.031797174502494654,0.0,0.15915110118630435,0.0951616854541834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7462106393142259,5.019294998446553,4.0433794307323,3.820877469773812,8.869242265242987,13.653125043781325,5.9924111275125,3.8123349532056885,7.76354703563005,4.443127502069877,0.5551492299094185,1.3961275794013543,0.029342500549546454,0.0,0.13886172624635273,0.0689535146259443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8169088558602523,5.357889328180922,4.4183437922845155,4.053494637176548,9.212531535250045,14.71230700163124,6.8720709974152925,4.666019578676608,9.552964757597602,6.175465073306701,1.1735519475876386,2.698320159042396,0.22164707307368173,0.0,0.6365032397952594,0.3988866444632506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5495310587052316,9.309073140944607,8.202748431035785,7.406359673124645,14.836220413957287,23.883888290773765,13.910593049435407,9.804772587323301,15.706217171249937,11.073241688707727,3.264083747203999,5.69301347269743,1.290903083652199,0.15268680351599814,2.404615467726819,1.840226365049708,0.016999242548650047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8380099684794625,7.845974589032945,7.7119062498541355,7.395388125870979,14.4150833783444,22.235121546735442,11.859209706677403,8.190104815005242,14.560690610607802,10.460264824293949,3.422322940208311,6.583243066047845,2.018922536817239,0.476757783043005,3.104315316404876,2.2186171538042285,0.02509305576966324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.196890478285329,9.319700757686398,8.995387428446051,8.044686104881992,14.805459969773587,23.211723447402917,13.097593423372373,9.172745596141933,15.288036183556772,11.149549120228812,3.8494563547017724,6.627473664040999,1.8033005913900937,0.3096115059407589,2.519364439874544,1.3800732952457675,2.0040632222688858e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1792020752755326,9.41924796982937,9.217884222547147,8.612603673639299,15.806564126779833,24.200147223352804,13.69563777060691,9.52040391688652,15.460010379635486,10.95451520312677,3.2813458625010963,6.000998048031966,1.6188678893284383,0.29489600626375917,2.6995885068331105,1.8900778321697322,0.011494565867102033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6551555261054549,6.961232343519889,6.739434100325905,6.250566308016361,12.408212789550106,19.42862302795778,10.126022310173832,6.969147491183189,12.244955273687642,8.143105464506059,1.7259456278428766,2.9342299664298648,0.22320724444839804,0.0,0.23007877677684274,0.09945573682793059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7476427195373375,5.094652592525413,4.165369147509125,3.899689756818338,9.026372601432142,13.706545190607335,5.899882873208124,3.5430999562045016,6.937747121371842,3.7791689930080974,0.4131636255744593,1.345951569577365,0.02742574961189201,0.0,0.09810151898176579,0.05625753985273096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6775011112694375,4.740679179315408,3.669981113465195,3.2291820360292944,7.42530003374025,11.391275508644798,4.14581034241474,2.1761223274631916,5.571263837602049,2.9884759873502884,0.16775801412652838,0.6243169630218328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022508339438374003,1.4366580789274348,6.303860927728962,4.783030957530827,4.173844753760767,8.884573286724068,13.07046032714298,5.244160204802868,2.965380073180034,6.397040693249905,3.4600441373506077,0.25143733743563473,1.1310331860415725,0.022434058805700263,0.0,0.02303227052560761,0.006516335162866858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29119954730749803,3.460059187804274,2.732339743022054,2.477010708919176,7.214626098867214,12.093046051607311,4.925821202120173,2.804498800000092,6.237418814681892,3.532599793689396,0.3040174896046004,0.9883469630232843,0.004382311622909189,0.0,0.022637162315754623,0.008057505081028446,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Risk Index,adult#009,2.224841091164206,3.4396824769804275,7.925630880175522,5.345662632237095,4.188980456273376,8.72567906787619,13.048281894195462,5.2948827666405345,3.1271573887376563,6.956903506526756,4.0599706583304815,0.44049493541135826,1.2631055774732152,0.25725298360614923,0.9329220593267834,0.09614874922188535,0.13690524533099377,3.1845149976411844,12.517218554537626,21.984656900427158,23.598306736570365,17.79732370953909,9.97416418233511,4.053819805582181,1.0289466201953135,0.6460797298678802,4.57311858048597,3.66240457852703,3.4479301537304905,8.69842229499585,14.024655474649528,6.5569284324921275,4.337786330991132,8.121446796812233,4.7240258604992205,0.7672833818706571,1.7165556744881136,0.1805914515267823,0.6408602740462709,0.1507736857061095,0.10811650408883924,2.0230791921052433,7.77685058457138,13.408034682362036,14.651443434133164,11.278749772735438,6.26013251839693,2.334025922255838,0.4967787121264307,0.5507397034987613,4.099376408228458,3.2307681532497665,3.199438674328667,8.419350358099594,13.386165218539759,5.854551791325843,3.6572296211355426,7.27981246837814,4.14574600693067,0.46483322480846595,1.3329278662935349,0.18293442607212157,0.661694466720011,0.16988243195651911,0.12236421219689307,2.030972920449682,7.969493182443365,12.757149970159356,12.693838714400265,9.181201253198207,4.9325600416158,1.7694664792643444,0.3227591666089809,0.752762105372419,5.019294998446553,4.0433794307323,3.820877469773812,8.869242265242987,13.653125043781325,5.9924111275125,3.8123349532056885,7.76354703563005,4.443127502069877,0.5551492299094185,1.3961275794013543,0.19026651287142402,0.6816090101094746,0.15066431436395183,0.11211410109930622,2.103766849008029,7.603145491704716,11.597683019017985,10.79545849874557,6.8266004750266545,2.9583564131230555,0.9186384775292615,0.15068299036348573,0.8180458989731955,5.357889328180922,4.4183437922845155,4.053494637176548,9.212531535250045,14.71230700163124,6.8720709974152925,4.666019578676608,9.552964757597602,6.175465073306701,1.1735519475876386,2.698320159042396,0.24080386608815468,0.21382424615472265,0.6365032397952594,0.4011787170691185,1.7792334353137658,9.397149580792744,17.241961763857926,18.269922627476664,13.130058217360594,6.7493702605729595,2.301714950293228,0.3153370347649701,1.5495995791966282,9.309073140944607,8.202748431035785,7.406359673124645,14.836220413957287,23.883888290773765,13.910593049435407,9.804772587323301,15.706217171249937,11.073241688707727,3.264083747203999,5.69301347269743,1.290903083652199,0.15268680351599814,2.404615467726819,1.840226365049708,0.9630565109734326,10.026374505680481,24.290810662288465,30.545642309594573,24.800963736597783,14.61090263099427,6.460209851880795,1.8842240838919804,1.0059001885287362,7.845974589032945,7.7119062498541355,7.395388125870979,14.4150833783444,22.235121546735442,11.859209706677403,8.190104815005242,14.560690610607802,10.460264824293949,3.422322940208311,6.583243066047845,2.018922536817239,0.476757783043005,3.104315316404876,2.2186171538042285,0.9086307741727913,9.431531024177223,22.182150768947366,27.4937577502765,22.49832130513471,13.316828647930885,5.6804582484196855,1.3995156787205445,1.2543537449061017,9.319700757686398,8.995387428446051,8.044686104881992,14.805459969773587,23.211723447402917,13.097593423372373,9.172745596141933,15.288036183556772,11.149549120228812,3.8494563547017724,6.627473664040999,1.8033005913900937,0.3096115059407589,2.519364439874544,1.3800732952457675,1.987215285144783,14.778642428657411,32.56704644711474,39.05856849056013,30.468978957935615,17.2340868326893,7.178090856214104,1.8088490596109554,1.2635709734357186,9.41924796982937,9.217884222547147,8.612603673639299,15.806564126779833,24.200147223352804,13.69563777060691,9.52040391688652,15.460010379635486,10.95451520312677,3.2813458625010963,6.000998048031966,1.6188678893284383,0.29489600626375917,2.6995885068331105,1.8900778321697322,1.1638654057007753,11.147120657145692,27.126179562777494,35.73348967577272,30.723144317698573,19.195724411859654,9.28227047217017,3.2113116663251837,1.0163967352276435,6.961232343519889,6.739434100325905,6.250566308016361,12.408212789550106,19.42862302795778,10.126022310173832,6.969147491183189,12.244955273687642,8.143105464506059,1.7259456278428766,2.9342299664298648,0.25490740581979915,0.41148653255536266,0.23411960275578456,0.16177064847277522,3.1511510965232716,12.483078859102688,20.660599033621367,20.614811995175106,14.401107447820733,7.326595668103476,2.4435606379590356,0.36606082252674915,0.7538841799323694,5.094652592525413,4.165369147509125,3.899689756818338,9.026372601432142,13.706545190607335,5.899882873208124,3.5430999562045016,6.937747121371842,3.7791689930080974,0.4131636255744593,1.345951569577365,0.22628830230774805,0.8554030508989191,0.12243622078561862,0.10122490933999134,2.391643649656212,9.590108325998996,16.24228969182484,17.53331757087914,13.568274650775555,7.723626731483985,3.057290794194031,0.6070685006666491,0.6943355833905417,4.740679179315408,3.669981113465195,3.2291820360292944,7.42530003374025,11.391275508644798,4.14581034241474,2.1761223274631916,5.571263837602049,2.9884759873502884,0.16990194936769062,0.6243169630218328,0.8886354456076339,2.4171496167771465,0.2328216824557465,0.3450773611064745,4.23945672400941,12.280731142268037,17.463417931485868,15.645195075270207,9.789285345955014,4.2416773773773775,0.9782214257879241,0.05065802932641165,1.4366580789274348,6.303860927728962,4.783030957530827,4.173844753760767,8.884573286724068,13.07046032714298,5.244160204802868,2.965380073180034,6.397040693249905,3.4600441373506077,0.25147467838700854,1.1310331860415725,0.25553802380531787,1.0863478009850387,0.08117318211165611,0.16505662333231294,3.232566870449103,10.820527766422382,17.579004187350982,19.287827974107557,17.006528627327597,11.90376723873183,6.346050530844445,2.4176653717024483,0.6571238125135586,3.460059187804274,2.732339743022054,2.477010708919176,7.214626098867214,12.093046051607311,4.925821202120173,2.804498800000092,6.237418814681892,3.532599793689396,0.3040174896046004,0.9883469630232843,0.4420767061877485,1.4820523555508525,0.10401551425940672,0.1611401195367922,3.320110735473284,11.327797701680069,17.99474142656428,17.93226351950675,12.636266514244724,6.448088005889146,2.1395717220068518
