,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
LBGI,adult#001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026032173614810605,0.0,0.0,0.0,0.0,0.05839031640864923,0.8608521255315887,2.2399882227261796,2.991656408830162,2.558002307487509,1.574103458331523,0.686539336593489,0.17999868207408587
HBGI,adult#001,1.5043551604072984,2.9052684356079173,7.048485031920788,5.2605402762206666,3.8748545510853347,6.842760123502149,11.82802164188312,6.057322836768104,2.6644025380383076,2.9178970315051433,0.7218739635443048,0.40482085962314907,2.4536580449886602,0.7925195587783191,0.11748601632761412,0.3984708777258863,0.019395975236139545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Risk Index,adult#001,1.5043551604072984,2.9052684356079173,7.048485031920788,5.2605402762206666,3.8748545510853347,6.842760123502149,11.82802164188312,6.057322836768104,2.6644025380383076,2.9178970315051433,0.7218739635443048,0.4074240769846301,2.4536580449886602,0.7925195587783191,0.11748601632761412,0.3984708777258863,0.07778629164478877,0.8608521255315887,2.2399882227261796,2.991656408830162,2.558002307487509,1.574103458331523,0.686539336593489,0.17999868207408587
