Time,reduction_factor,rat_multiplier,p2u_effective,p2u_relative,autotune_isf
2018-01-01 14:00:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 14:05:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 14:10:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 14:15:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 14:20:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 14:25:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 14:30:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 14:35:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 14:40:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 14:45:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 14:50:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 14:55:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 15:00:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 15:05:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 15:10:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 15:15:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 15:20:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 15:25:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 15:30:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 15:35:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 15:40:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 15:45:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 15:50:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 15:55:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 16:00:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 16:05:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 16:10:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 16:15:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 16:20:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 16:25:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 16:30:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 16:35:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 16:40:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 16:45:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 16:50:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 16:55:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 17:00:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 17:05:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 17:10:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 17:15:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 17:20:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 17:25:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 17:30:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 17:35:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 17:40:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 17:45:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 17:50:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 17:55:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 18:00:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 18:05:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 18:10:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 18:15:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 18:20:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 18:25:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 18:30:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 18:35:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 18:40:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 18:45:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 18:50:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 18:55:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 19:00:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 19:05:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 19:10:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 19:15:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 19:20:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 19:25:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 19:30:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 19:35:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 19:40:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 19:45:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 19:50:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 19:55:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 20:00:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 20:05:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 20:10:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 20:15:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 20:20:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 20:25:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 20:30:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 20:35:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 20:40:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 20:45:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 20:50:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 20:55:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 21:00:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 21:05:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 21:10:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 21:15:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 21:20:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 21:25:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 21:30:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 21:35:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 21:40:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 21:45:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 21:50:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 21:55:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 22:00:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 22:05:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 22:10:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 22:15:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 22:20:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 22:25:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 22:30:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 22:35:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 22:40:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 22:45:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 22:50:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 22:55:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 23:00:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 23:05:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 23:10:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 23:15:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 23:20:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 23:25:00,1.0,1.0,0.024807,1.0,28.397125456151155
2018-01-01 23:30:00,1.0,1.0,0.024807,1.0,28.397125456151155
